"sector","process_commodity","process_description","technology_code","technology_name","technology_category","output_unit"
"Cement","ICM","Cement (demand commodity, in Mt)","ICMGRIMIX01","Grinding and mixing technology","Electricity","Mt"
"Cement","ICM","Cement (demand commodity, in Mt)","ICMGRIMIX02","Grinder and mixer with increased clinker substitution","Electricity","Mt"
"Cement","ICM","Cement (demand commodity, in Mt)","ICMLOCARB01","Alternative low carbon cement","Standard_FF","Mt"
"Cement","ICMCLK","Clinker","ICMKLNCLQ01","Calcium looping kiln","CCS","Mt"
"Cement","ICMCLK","Clinker","ICMKLND01","Dry kiln, best available technology (BAT)","Dry kiln","Mt"
"Cement","ICMCLK","Clinker","ICMKLNMAQ02","Advanced Amine (MDEA) - BAT KILN (Cormos 2017) (CCS)","CCS","Mt"
"Cement","ICMCLK","Clinker","ICMKLNMCQ01","Dry kiln with coal CHP and MEA CCS","CCS","Mt"
"Cement","ICMCLK","Clinker","ICMKLNMNQ01","Dry kiln with natural gas CHP and MEA CCS","CCS","Mt"
"Cement","ICMCLK","Clinker","ICMKLNOXQ01","BAT kiln full oxyfuel (CCS)","CCS","Mt"
"Cement","ICMCLK","Clinker","ICMKLNPOQ01","Partial oxyfuel dry kiln with CCS","CCS","Mt"
"Cement","ICMCLK","Clinker","ICMKLNWST02","Fluidised bed kiln with waste utilisation","Standard_FF","Mt"
"Ceramics","ICR","Demand commodity for the ceramics sector (in PJ of useful energy)","ICR01","Demand technology (not an actual technology only transforms energy services (ICRDRY, ICRHTH, ICRLTH, ICRMOT, ICROTH, ICRSPC) into final demand commodity (ICR))","Standard_FF","PJ"
"Ceramics","ICRDRY","Drying / Separation services for the ceramics sector","ICRDRYELC01","Drying / separation technology based on electricity","Electricity","PJ"
"Ceramics","ICRDRY","Drying / Separation services for the ceramics sector","ICRDRYELCHP01","Drying / separation technology based on heat pump","Heat pump","PJ"
"Ceramics","ICRDRY","Drying / Separation services for the ceramics sector","ICRDRYHDG01","Drying / separation technology based on hydrogen","Hydrogen","PJ"
"Ceramics","ICRDRY","Drying / Separation services for the ceramics sector","ICRDRYNGA01","Drying / separation technology based on natural gas","Natural gas","PJ"
"Ceramics","ICRHTH","High temperature heat for the ceramics sector","ICRHTHBIOS01","High-temperature heat technology based on solid biomass (boiler)","Biomass","PJ"
"Ceramics","ICRHTH","High temperature heat for the ceramics sector","ICRHTHELC01","High-temperature heat technology based on electricity (boiler)","Electricity","PJ"
"Ceramics","ICRHTH","High temperature heat for the ceramics sector","ICRHTHHCO01","High-temperature heat technology based on coal (boiler)","Coal","PJ"
