"technology_code","technology_name","sector","technology_category","output_commodity","output_unit","emission_class","process_share_pct","process_co2_kt_per_unit","process_ch4_kt_per_unit","process_n2o_kt_per_unit","process_total_kt_per_unit","energy_direct_kt_per_unit","energy_direct_biomass_zerorated_kt_per_unit","energy_indirect_kt_per_unit","direct_total_kt_per_unit","consumes_biomass_fuel","emissions_released","n_emitting_fuel_inputs","emitting_fuel_commodities","retrofit_to","fuel_factor_year"
"ICMKLNOXQ01","BAT kiln full oxyfuel (CCS)","Cement","CCS","ICMCLK","Mt","B_process_dominant",68.9,602.530643032127,0,0,602.530643032127,271.832341749413,271.832341749413,121.543932074764,874.36298478154,FALSE,0.1,5,"IND_NGABOM;INDCOA;INDDISTELC;INDMSWINO;INDNEUMSC",,2021
"ICMKLNPOQ01","Partial oxyfuel dry kiln with CCS","Cement","CCS","ICMCLK","Mt","B_process_dominant",68.9,602.530643032127,0,0,602.530643032127,271.832341749413,271.832341749413,121.543932074764,874.36298478154,FALSE,0.35,5,"IND_NGABOM;INDCOA;INDDISTELC;INDMSWINO;INDNEUMSC",,2021
"ICMKLNCLQ01","Calcium looping kiln","Cement","CCS","ICMCLK","Mt","B_process_dominant",68.1,602.530643032127,0,0,602.530643032127,282.380106828618,282.380106828618,31.5439320747643,884.910749860745,FALSE,0.1,5,"IND_NGABOM;INDCOA;INDDISTELC;INDMSWINO;INDNEUMSC",,2021
"ICMKLND01","Dry kiln, best available technology (BAT)","Cement","Dry kiln","ICMCLK","Mt","B_process_dominant",64.9,602.530643032127,0,0,602.530643032127,325.85043100908,325.85043100908,1.54393207476429,928.381074041207,TRUE,1,7,"IND_NGABOM;INDCOA;INDDISTELC;INDHFO;INDLFO;INDMSWINO;INDMSWORG",,2021
"ICMKLNMNQ01","Dry kiln with natural gas CHP and MEA CCS","Cement","CCS","ICMCLK","Mt","B_process_dominant",51.3,602.530643032127,0,0,602.530643032127,573.120280370619,573.120280370619,1.54393207476429,1175.65092340275,FALSE,0.1,5,"IND_NGABOM;INDCOA;INDDISTELC;INDMSWINO;INDNEUMSC",,2021
"ICMKLNMAQ02","Advanced Amine (MDEA) - BAT KILN (Cormos 2017) (CCS)","Cement","CCS","ICMCLK","Mt","C_mixed_energy_dominant",49.7,602.530643032127,0,0,602.530643032127,608.885949031025,608.885949031025,91.5439320747643,1211.41659206315,FALSE,0.1,5,"IND_NGABOM;INDCOA;INDDISTELC;INDMSWINO;INDNEUMSC",,2021
"ICMKLNMCQ01","Dry kiln with coal CHP and MEA CCS","Cement","CCS","ICMCLK","Mt","C_mixed_energy_dominant",42.3,808.967447853831,0,0,808.967447853831,1104.42333899309,1104.42333899309,32.1473975518939,1913.39078684692,FALSE,0.1,5,"IND_NGABOM;INDCOA;INDDISTELC;INDMSWINO;INDNEUMSC",,2021
"ICMKLNWST02","Fluidised bed kiln with waste utilisation","Cement","Standard_FF","ICMCLK","Mt","C_mixed_energy_dominant",40,616.921446576069,0,0,616.921446576069,924.50859386297,540.459284762855,1.619046811132,1541.43004043904,TRUE,1,7,"IND_NGABOM;INDCOA;INDDISTELC;INDHFO;INDLFO;INDMSWINO;INDMSWORG",,2021
"ICMLOCARB01","Alternative low carbon cement","Cement","Standard_FF","ICM","Mt","C_mixed_energy_dominant",21.6,97.4433164335045,0,0,97.4433164335045,354.490024269595,216.627814522487,2.33960998430747,451.9333407031,TRUE,1,7,"IND_NGABOM;INDCOA;INDDISTELC;INDHFO;INDLFO;INDMSWINO;INDMSWORG",,2021
"ICMGRIMIX01","Grinding and mixing technology","Cement","Electricity","ICM","Mt","E_zero_direct",,0,0,0,0,0,0,7.24871971852711,0,FALSE,1,1,"INDDISTELC",,2021
"ICMGRIMIX02","Grinder and mixer with increased clinker substitution","Cement","Electricity","ICM","Mt","E_zero_direct",,0,0,0,0,0,0,7.24871961068201,0,FALSE,1,1,"INDDISTELC",,2021
"ICRDRYNGA01","Drying / separation technology based on natural gas","Ceramics","Natural gas","ICRDRY","PJ","D_pure_energy",0,0,0,0,0,60.2349431942799,60.2349431942799,0,60.2349431942799,FALSE,1,1,"IND_NGABOM",,2021
"ICRHTHBIOS01","High-temperature heat technology based on solid biomass (boiler)","Ceramics","Biomass","ICRHTH","PJ","D_pure_energy",0,0,0,0,0,121.375,0,0,121.375,TRUE,1,1,"IND_SOLIDBIOMSW",,2021
"ICRHTHHCO01","High-temperature heat technology based on coal (boiler)","Ceramics","Coal","ICRHTH","PJ","D_pure_energy",0,0,0,0,0,112.01976043997,112.01976043997,0,112.01976043997,FALSE,1,1,"INDCOA",,2021
"ICRHTHNGA01","High-temperature heat technology based on natural gas / biomethane (boiler)","Ceramics","Natural gas","ICRHTH","PJ","D_pure_energy",0,0,0,0,0,63.9996271439224,63.9996271439224,0,63.9996271439224,FALSE,1,1,"IND_NGABOM",,2021
"ICRLTHBIOS01","Low-temperature heat  technology based on solid biomass (boiler)","Ceramics","Biomass","ICRLTH","PJ","D_pure_energy",0,0,0,0,0,109.101123595506,0,0,109.101123595506,TRUE,1,1,"IND_SOLIDBIOMSW",,2021
"ICRLTHNGA01","Low-temperature heat  technology based on natural gas (boiler)","Ceramics","Natural gas","ICRLTH","PJ","D_pure_energy",0,0,0,0,0,55.6518496903673,55.6518496903673,0,55.6518496903673,FALSE,1,1,"IND_NGABOM",,2021
"ICROTHBIOS01","Generic process technology for other energy services based on solid biomass","Ceramics","Biomass","ICROTH","PJ","D_pure_energy",0,0,0,0,0,109.101123595506,0,0,109.101123595506,TRUE,1,1,"IND_SOLIDBIOMSW",,2021
"ICROTHNGA01","Generic process technology for other energy services based on natural gas / biomethane","Ceramics","Natural gas","ICROTH","PJ","D_pure_energy",0,0,0,0,0,55.6518496903673,55.6518496903673,0,55.6518496903673,FALSE,1,1,"IND_NGABOM",,2021
"ICRSPCBIOS01","Low-temperature space heat technology based on solid biomass (boiler)","Ceramics","Biomass","ICRSPC","PJ","D_pure_energy",0,0,0,0,0,107.888888888889,0,0,107.888888888889,TRUE,1,1,"IND_SOLIDBIOMSW",,2021
"ICRSPCNGA01","Low-temperature space heat technology based on natural gas (boiler)","Ceramics","Natural gas","ICRSPC","PJ","D_pure_energy",0,0,0,0,0,55.0534427044494,55.0534427044494,0,55.0534427044494,FALSE,1,1,"IND_NGABOM",,2021
